desc_1,desc_2,label
Growing of non-perennial crops,Manufacture of beverages,1
Growing of perennial crops,Manufacture of tobacco products,1
Plant propagation,Manufacture of textiles,1
Animal production,Manufacture of wearing apparel,1
Mixed farming,Manufacture of leather and related products,1
Support activities to agriculture and post-harvest crop activities,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1
"Hunting, trapping and related service activities",Manufacture of paper and paper products,1
Silviculture and other forestry activities,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
Logging,Manufacture of rubber and plastics products,1
Gathering of non-wood forest products,Manufacture of other non-metallic mineral products,1
Support services to forestry,Manufacture of basic metals,1
Fishing,Manufacture of furniture,1
Aquaculture,Other manufacturing,1
Mining of hard coal,Air transport,1
Mining of lignite,Warehousing and support activities for transportation,1
Extraction of crude petroleum,Telecommunications,1
Extraction of natural gas,"Computer programming, consultancy and related activities",1
Mining of iron ores,Architectural and engineering activities; technical testing and analysis,1
Mining of non-ferrous metal ores,Scientific research and development,1
"Quarrying of stone, sand and clay",Services to buildings and landscape activities,1
Support activities for petroleum and natural gas extraction,"Libraries, archives, museums and other cultural activities",1
Support activities for other mining and quarrying,Activities of extraterritorial organizations and bodies,1
Raising of cattle and buffaloes,"Manufacture of wearing apparel, except fur apparel",1
Raising of horses and other equines,Manufacture of articles of fur,1
Raising of camels and camelids,Manufacture of knitted and crocheted apparel,1
Support activities for crop production,Sawmilling and planing of wood,1
Support activities for animal production,"Manufacture of products of wood, cork, straw and plaiting materials",1
"Hunting, trapping and related service activities",Manufacture of paper and paper products,1
Silviculture and other forestry activities,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",1
Marine aquaculture,"Manufacture of jewellery, bijouterie and related articles",1
Freshwater aquaculture,Manufacture of musical instruments,1
Extraction of natural gas,"Computer programming, consultancy and related activities",1
Mining of uranium and thorium ores,Research and experimental development on natural sciences and engineering,1
Support activities for petroleum and natural gas extraction,"Libraries, archives, museums and other cultural activities",1
Support activities for other mining and quarrying,Activities of extraterritorial organizations and bodies,1
Raising of horses and other equines,Manufacture of articles of fur,1
Raising and breeding of camels and camelids,Manufacture of knitted and crocheted apparel,1
Fish farming in sea water including farming of marine ornamental fish,Manufacture of jewellery and related articles,1
"Culture of crustaceans, bivalves, other mollusks and other aquatic animals in sea water",Manufacture of imitation jewellery and related articles,1
Offshore Extraction of natural gas,Computer programming activities,1
On shore Extraction of natural gas,Computer consultancy and computer facilities management activities,1
Mining of uranium and thorium ores,Research and experimental development on natural sciences and engineering,1
Services incidental to off shore oil extraction,Library and archives activities,1
Services incidental to on shore oil extraction,Museums activities and operation of historical sites and buildings,1
Services incidental to off shore gas extraction,Botanical and zoological gardens and nature reserves activities,1
Support activities for other mining and quarrying,Activities of extraterritorial organizations and bodies,1
"Manufacture of other machinery for textiles, apparel and leather production n.e.c.",Software installation,0
Manufacture of molasses,Technical testing and analysis,0
"Renting of tent, furniture, pottery and glass, kitchen and tableware, utensils, household electrical and electronic equipments etc.",Special education for handicapped students at first stage or second stage of secondary level,0
"Accommodation provided by student residences, school dormitories",Manufacture of plywood chests,0
Regulatory agencies relating to other social services n.e.c. excluding social security,Whole sale of other agriculture raw materials n.e.c.,0
Manufacture of other cordage or rope n.e.c.,Manufacture of wearing apparel made of leather and substitutes of leather,0
"Manufacture of cable television equipment, transmitting and receiving antenna including dish, VSAT","Manufacture of articles of porcelain or china, earthenware, imitation porcelain or common pottery, including earthen statues",0
Flaying and curing of raw hides and skins,Manufacture of synthetic flavoured concentrates and syrups,0
Activities of Internet access by the operator of the wireless infrastructure,Social work activities without accommodation,0
Steam and air conditioning supply,Human health activities,0
Retail sale of second-hand goods,"Other financial service activities, except insurance and pension funding activities",0
Other human health activities n.e.c. (including independent ambulance activities),Manufacture of furniture,0
Employment activities,Manufacture of sago and sago products,0
Manufacture of basic precious and other non-ferrous metals,Repair of electronic and optical equipment,0
Printing and service activities related to printing,Data processing activities including report writing,0
Growing of other tree and bush fruits and nuts,Manufacture of laboratory or pharmaceutical glassware,0
Wholesale of intoxicants like wines and liquors,Activities of independent blood banks,0
"Manufacture of non-refractory ceramic pipes, conduits, guttering and pipe fittings",Growing of other citrus fruits,0
"Water collection, treatment and supply","Manufacture of caulking compounds and similar non-refractory filling or surfacing preparations,mastics, prepared paint or varnish removers, organic composite solvents and thinners and other related pr",0
Manufacture of domestic appliances,Other non urban passenger land transport n.e.c.,0
"Renting of books, journals and magazines",Wholesale of lottery tickets,0
"Growing of vegetables, n.e.c.""","Manufacture of articles of concrete, cement and plaster",0
Demolition,Activities of membership organizations,0
Support activities for petroleum and natural gas extraction,"Trusts, funds and similar financial entities",0
"Installation of doors, windows, door and window frames, fitted kitchens, of wood or other materials",Residential care activities for the elderly and disabled,0
"Activities of nurses, masseures, physiotherapists or other para-medical practitioners",Manufacture of malt liquors and malt n.e.c.,0
Manufacture of cork and cork products,"Wholesale of confectionery, bakery products and beverages other than intoxicants",0
Support activities for transportation,"Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle ricksh",0
Manufacture of sports goods,Sewerage,0
Manufacture of other special-purpose machinery,"Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis",0
"Restaurant and bar activities connected to transportation, when carried out by separate units",Investigation activities,0
Service activities related to printing,Freight transport by road,0
Mining of iron ores,Raising of cattle and buffaloes,0
Manufacture of chocolate and chocolate confectionery,"Manufacture of integrated circuits (analog, digital or hybrid)",0
Civil engineering,Provision of literacy programmes for adults at primary level,0
Manufacture of man-made fibres,"Treatment of waste water or sewer by means of physical, chemical or biological processes",0
Manufacture of other non-metallic mineral products,Growing of gladiolus,0
Other accommodation,Other information technology and computer service activities,0
Manufacture of central heating boilers and radiators and parts and accessories thereof,Manufacture of parts and accessories for motor vehicles,0
Other residential care activities n.e.c.,"Restaurant and bar activities connected to transportation, when carried out by separate units",0
"Manufacture of other articles of gold, silver and other precious and semi precious metal and stone",Support activities for animal production,0
"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or str","Treatment, disposal and storage of radioactive nuclear waste",0
Manufacture of machinery and equipment n.e.c.,"Processing and preserving of fish, crustaceans and molluscs",0
"Manufacture of hats, caps and other clothing accessories such as gloves,belts, ties, cravats, hairnets etc.","Retail sale via stalls and markets of food, beverages and tobacco products",0
"Photocopying, document preparation and other specialized office support activities",Manufacture of mosquito nets,0
Manufacture of carpets made of synthetic materials,"Wholesale of transport equipment except motor vehicles, motorcycles and bicycles",0
